Viral protein,Human protein,Link,Supplementary,Reference,Useful information
Orf8,EDEM3,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-491",
Orf8,SIL1,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-492",
Orf8,POFUT1,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-493",
Orf8,SMOC1,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-494",
Orf8,PLEKHF2,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-495",
Orf8,FBXL12,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-496",
Orf8,UGGT2,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-497",
Orf8,CHPF2,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-498",
Orf8,ADAMTS1,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-499",
Orf8,HYOU1,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-500",
Orf8,FKBP7,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-501",
Orf8,ADAM9,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-502",
Orf8,FKBP10,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-503",
Orf9b,SLC9A3R1,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-504",
Orf9b,CHMP2A,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-505",
Orf9b,CSDE1,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-506",
Orf9b,TOMM70,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-507",
Orf9b,MARK3,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-508",
Orf9b,MARK2,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-509",
Orf9b,DPH5,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-510",
Orf9b,DCTPP1,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-511",
Orf9b,MARK1,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-512",
Orf9b,PTBP2,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-513",
Orf9b,BAG5,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-514",
Orf9c,UBXN8,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-515",
Orf9c,GPAA1,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-516",
Orf9c,WFS1,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-517",
Orf9c,ABCC1,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-518",
Orf9c,F2RL1,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-519",
Orf9c,SCAP,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-520",
Orf9c,DPY19L1,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-521",
Orf9c,TMEM97,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-522",
Orf9c,SLC30A6,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-523",
Orf9c,TAPT1,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-524",
Orf9c,ERMP1,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-525",
Orf9c,NLRX1,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-526",
Orf9c,RETREG3,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-527",
Orf9c,PIGO,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-528",
Orf9c,FAR2,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-529",
Orf9c,ECSIT,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-530",
Orf9c,ALG8,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-531",
Orf9c,TMEM39B,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-532",
Orf9c,GHITM,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-533",
Orf9c,ACAD9,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-534",
Orf9c,NDFIP2,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-535",
Orf9c,BCS1L,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-536",
Orf9c,NDUFAF1,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-537",
Orf9c,TMED5,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-538",
Orf9c,NDUFB9,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-539",
Orf9c,PIGS,https://pubmed.ncbi.nlm.nih.gov/32353859/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431030/bin/NIHMS1587111-supplement-5.xlsx,"Gordon, D.E., Jang, G.M., Bouhaddou, M. et al. A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. Nature 583, 459–468 (2020). https://doi.org/10.1038/s41586-020-2286-540",
E,AP3B1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
E,BRD4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
E,BRD2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
E,CWC27,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
E,ZC3H18,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
E,SLC44A2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,PMPCB,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,YIF1A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,ATP1B1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,ACADM,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,ETFA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,STOM,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,GGCX,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,ATP6V1A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,PSMD8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,REEP5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,PMPCA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,ANO6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,PITRM1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,SLC30A9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,FASTKD5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,SLC30A7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,TUBGCP3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,COQ8B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,SAAL1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,REEP6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,INTS4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,SLC25A21,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,TUBGCP2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,TARS2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,RTN4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,FAM8A1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,AASS,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,AKAP8L,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,AAR2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
M,BZW2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
N,RRP9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
N,PABPC1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
N,CSNK2A2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
N,CSNK2B,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
N,G3BP1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
N,PABPC4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
N,LARP1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
N,FAM98A,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
N,SNIP1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
N,UPF1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
N,MOV10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277549/bin/mmc3.xlsx,,
